id,formula,description
66_AlVO4,Al 1 V 1 O 4,"Al 1 V 1 O 4 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of s, LUMO element of Al, LUMO energy of -29, gap AO of 51."
67_As2O5,As 2 O 5,"As 2 O 5 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
68_As2Pb2O5,As 2 Pb 2 O 5,"As 2 Pb 2 O 5 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of As, LUMO energy of -20, gap AO of 141."
69_As2Pb3O8,As 2 Pb 3 O 8,"As 2 Pb 3 O 8 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
70_As2PbO4,As 2 Pb 1 O 4,"As 2 Pb 1 O 4 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of As, LUMO energy of -20, gap AO of 141."
71_As2PbS4,As 2 Pb 1 S 4,"As 2 Pb 1 S 4 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of p, LUMO element of As, LUMO energy of -20, gap AO of 64."
72_As2SO6,As 2 S 1 O 6,"As 2 S 1 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
73_As2Se3,As 2 Se 3,"As 2 Se 3 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of p, LUMO element of As, LUMO energy of -20, gap AO of 48."
74_AsPO5,As 1 P 1 O 5,"As 1 P 1 O 5 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
75_B2O3,B 2 O 3,"B 2 O 3 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
76_B2S2O9,B 2 S 2 O 9,"B 2 S 2 O 9 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
77_B6O,B 6 O 1,"B 6 O 1 has HOMO character of p, HOMO element of B, HOMO energy of -14, LUMO character of p, LUMO element of B, LUMO energy of -14."
78_BAsO4,B 1 As 1 O 4,"B 1 As 1 O 4 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
79_BPO4,B 1 P 1 O 4,"B 1 P 1 O 4 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
80_BSe2,B 1 Se 2,"B 1 Se 2 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of p, LUMO element of Se, LUMO energy of -25."
81_Ba(AgO)2,Ba 1 Ag 2 O 2,"Ba 1 Ag 2 O 2 has HOMO character of d, HOMO element of Ag, HOMO energy of -30, LUMO character of s, LUMO element of Ag, LUMO energy of -16, gap AO of 141."
82_Ba(AlSe2)2,Ba 1 Al 2 Se 4,"Ba 1 Al 2 Se 4 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of p, LUMO element of Se, LUMO energy of -25."
83_Ba(BS2)2,Ba 1 B 2 S 4,"Ba 1 B 2 S 4 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of p, LUMO element of S, LUMO energy of -26."
84_Ba(BSe3)2,Ba 1 B 2 Se 6,"Ba 1 B 2 Se 6 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of p, LUMO element of Se, LUMO energy of -25."
85_Ba(CuO)2,Ba 1 Cu 2 O 2,"Ba 1 Cu 2 O 2 has HOMO character of d, HOMO element of Cu, HOMO energy of -20, LUMO character of s, LUMO element of Cu, LUMO energy of -17, gap AO of 30."
86_Ba(CuS)2,Ba 1 Cu 2 S 2,"Ba 1 Cu 2 S 2 has HOMO character of d, HOMO element of Cu, HOMO energy of -20, LUMO character of s, LUMO element of Cu, LUMO energy of -17, gap AO of 30."
87_Ba(CuSe)2,Ba 1 Cu 2 Se 2,"Ba 1 Cu 2 Se 2 has HOMO character of d, HOMO element of Cu, HOMO energy of -20, LUMO character of s, LUMO element of Cu, LUMO energy of -17, gap AO of 30."
88_Ba(GaSe2)2,Ba 1 Ga 2 Se 4,"Ba 1 Ga 2 Se 4 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of p, LUMO element of Se, LUMO energy of -25."
89_Ba(NO3)2,Ba 1 N 2 O 6,"Ba 1 N 2 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
90_Ba(PO3)2,Ba 1 P 2 O 6,"Ba 1 P 2 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
91_Ba(SbO3)2,Ba 1 Sb 2 O 6,"Ba 1 Sb 2 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
92_Ba(TeO3)2,Ba 1 Te 2 O 6,"Ba 1 Te 2 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
93_Ba(YSe2)2,Ba 1 Y 2 Se 4,"Ba 1 Y 2 Se 4 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of s, LUMO element of Y, LUMO energy of -15, gap AO of 95."
94_Ba2As2Se5,Ba 2 As 2 Se 5,"Ba 2 As 2 Se 5 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of p, LUMO element of As, LUMO energy of -20, gap AO of 48."
95_Ba2B2O5,Ba 2 B 2 O 5,"Ba 2 B 2 O 5 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
96_Ba2BiSbO6,Ba 2 Bi 1 Sb 1 O 6,"Ba 2 Bi 1 Sb 1 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
97_Ba2Ca(BO2)6,Ba 2 Ca 1 B 6 O 12,"Ba 2 Ca 1 B 6 O 12 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
98_Ba2Ca(BO3)2,Ba 2 Ca 1 B 2 O 6,"Ba 2 Ca 1 B 2 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
99_Ba2CaWO6,Ba 2 Ca 1 W 1 O 6,"Ba 2 Ca 1 W 1 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of d, LUMO element of W, LUMO energy of -22, gap AO of 118."
100_Ba2Cd(BO2)6,Ba 2 Cd 1 B 6 O 12,"Ba 2 Cd 1 B 6 O 12 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
101_Ba2CdGe2O7,Ba 2 Cd 1 Ge 2 O 7,"Ba 2 Cd 1 Ge 2 O 7 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
102_Ba2CdS3,Ba 2 Cd 1 S 3,"Ba 2 Cd 1 S 3 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of s, LUMO element of Cd, LUMO energy of -20, gap AO of 57."
103_Ba2CdSe3,Ba 2 Cd 1 Se 3,"Ba 2 Cd 1 Se 3 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of s, LUMO element of Cd, LUMO energy of -20, gap AO of 42."
104_Ba2GaSbSe5,Ba 2 Ga 1 Sb 1 Se 5,"Ba 2 Ga 1 Sb 1 Se 5 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of p, LUMO element of Se, LUMO energy of -25."
105_Ba2Ge(TeSe)2,Ba 2 Ge 1 Te 2 Se 2,"Ba 2 Ge 1 Te 2 Se 2 has HOMO character of p, HOMO element of Te, HOMO energy of -23, LUMO character of p, LUMO element of Te, LUMO energy of -23."
106_Ba2Ge2Se5,Ba 2 Ge 2 Se 5,"Ba 2 Ge 2 Se 5 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of p, LUMO element of Se, LUMO energy of -25."
107_Ba2GeO4,Ba 2 Ge 1 O 4,"Ba 2 Ge 1 O 4 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
108_Ba2GeSe4,Ba 2 Ge 1 Se 4,"Ba 2 Ge 1 Se 4 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of p, LUMO element of Se, LUMO energy of -25."
109_Ba2HfO4,Ba 2 Hf 1 O 4,"Ba 2 Hf 1 O 4 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of s, LUMO element of Hf, LUMO energy of -17, gap AO of 172."
110_Ba2HgS3,Ba 2 Hg 1 S 3,"Ba 2 Hg 1 S 3 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of s, LUMO element of Hg, LUMO energy of -21, gap AO of 57."
111_Ba2HgS5,Ba 2 Hg 1 S 5,"Ba 2 Hg 1 S 5 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of p, LUMO element of S, LUMO energy of -26."
112_Ba2In2O5,Ba 2 In 2 O 5,"Ba 2 In 2 O 5 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of s, LUMO element of In, LUMO energy of -29, gap AO of 48."
113_Ba2InBiSe5,Ba 2 In 1 Bi 1 Se 5,"Ba 2 In 1 Bi 1 Se 5 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of p, LUMO element of Se, LUMO energy of -25."
114_Ba2InGaO5,Ba 2 In 1 Ga 1 O 5,"Ba 2 In 1 Ga 1 O 5 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of s, LUMO element of Ga, LUMO energy of -33, gap AO of 10."
115_Ba2InSbSe5,Ba 2 In 1 Sb 1 Se 5,"Ba 2 In 1 Sb 1 Se 5 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of p, LUMO element of Se, LUMO energy of -25."
116_Ba2LaNbO6,Ba 2 La 1 Nb 1 O 6,"Ba 2 La 1 Nb 1 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of s, LUMO element of Nb, LUMO energy of -14, gap AO of 194."
117_Ba2LaTaO6,Ba 2 La 1 Ta 1 O 6,"Ba 2 La 1 Ta 1 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of d, LUMO element of Ta, LUMO energy of -18, gap AO of 156."
118_Ba2Li(BO2)5,Ba 2 Li 1 B 5 O 10,"Ba 2 Li 1 B 5 O 10 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
119_Ba2Mg(BO2)6,Ba 2 Mg 1 B 6 O 12,"Ba 2 Mg 1 B 6 O 12 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
120_Ba2Mg(BO3)2,Ba 2 Mg 1 B 2 O 6,"Ba 2 Mg 1 B 2 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
121_Ba2MgMoO6,Ba 2 Mg 1 Mo 1 O 6,"Ba 2 Mg 1 Mo 1 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of s, LUMO element of Mg, LUMO energy of -18, gap AO of 163."
122_Ba2MgSi2O7,Ba 2 Mg 1 Si 2 O 7,"Ba 2 Mg 1 Si 2 O 7 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
123_Ba2MgWO6,Ba 2 Mg 1 W 1 O 6,"Ba 2 Mg 1 W 1 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of d, LUMO element of W, LUMO energy of -22, gap AO of 118."
124_Ba2PbO4,Ba 2 Pb 1 O 4,"Ba 2 Pb 1 O 4 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
125_Ba2Sc2O5,Ba 2 Sc 2 O 5,"Ba 2 Sc 2 O 5 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of s, LUMO element of Sc, LUMO energy of -16, gap AO of 182."
126_Ba2ScNbO6,Ba 2 Sc 1 Nb 1 O 6,"Ba 2 Sc 1 Nb 1 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of s, LUMO element of Sc, LUMO energy of -16, gap AO of 182."
127_Ba2ScTaO6,Ba 2 Sc 1 Ta 1 O 6,"Ba 2 Sc 1 Ta 1 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of d, LUMO element of Ta, LUMO energy of -18, gap AO of 156."
128_Ba2SiO4,Ba 2 Si 1 O 4,"Ba 2 Si 1 O 4 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
129_Ba2SiSe4,Ba 2 Si 1 Se 4,"Ba 2 Si 1 Se 4 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of p, LUMO element of Se, LUMO energy of -25."
130_Ba2SnO4,Ba 2 Sn 1 O 4,"Ba 2 Sn 1 O 4 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
